,date,country,confirmed,deaths,recovered
512,03-24-2020,Venezuela,84,0,15
513,03-24-2020,Vietnam,134,0,17
514,03-24-2020,Zambia,3,0,0
515,03-24-2020,Zimbabwe,3,1,0
516,03-25-2020,US,65778,942,361
517,03-25-2020,Canada,3251,30,183
518,03-25-2020,China,81661,3285,73773
519,03-25-2020,Netherlands,6438,357,4
520,03-25-2020,Australia,2364,8,119
521,03-25-2020,United Kingdom,9640,466,140
522,03-25-2020,Denmark,1862,34,41
523,03-25-2020,France,25600,1333,3907
524,03-25-2020,Afghanistan,84,2,2
525,03-25-2020,Albania,146,5,17
526,03-25-2020,Algeria,302,21,65
527,03-25-2020,Andorra,188,1,1
528,03-25-2020,Angola,3,0,0
529,03-25-2020,Antigua and Barbuda,3,0,0
530,03-25-2020,Argentina,387,8,52
531,03-25-2020,Armenia,265,0,16
532,03-25-2020,Austria,5588,30,9
533,03-25-2020,Azerbaijan,93,2,10
534,03-25-2020,Bahamas,5,0,1
535,03-25-2020,Bahrain,419,4,177
536,03-25-2020,Bangladesh,39,5,7
537,03-25-2020,Barbados,18,0,0
538,03-25-2020,Belarus,86,0,29
539,03-25-2020,Belgium,4937,178,547
540,03-25-2020,Belize,2,0,0
541,03-25-2020,Benin,6,0,0
542,03-25-2020,Bhutan,2,0,0
543,03-25-2020,Bolivia,32,0,0
544,03-25-2020,Bosnia and Herzegovina,176,3,2
545,03-25-2020,Brazil,2554,59,2
546,03-25-2020,Brunei,109,0,2
547,03-25-2020,Bulgaria,242,3,4
548,03-25-2020,Burkina Faso,146,4,10
549,03-25-2020,Cabo Verde,4,1,0
550,03-25-2020,Cambodia,96,0,10
551,03-25-2020,Cameroon,75,1,2
552,03-25-2020,Central African Republic,3,0,0
553,03-25-2020,Chad,3,0,0
554,03-25-2020,Chile,1142,3,22
555,03-25-2020,Colombia,470,4,8
556,03-25-2020,Congo (Brazzaville),4,0,0
557,03-25-2020,Congo (Kinshasa),48,2,0
558,03-25-2020,Costa Rica,201,2,2
559,03-25-2020,Cote d'Ivoire,80,0,3
560,03-25-2020,Croatia,442,1,22
561,03-25-2020,Cuba,57,1,1
562,03-25-2020,Cyprus,132,3,3
563,03-25-2020,Czechia,1654,6,10
564,03-25-2020,Diamond Princess,712,10,587
565,03-25-2020,Djibouti,11,0,0
566,03-25-2020,Dominica,7,0,0
567,03-25-2020,Dominican Republic,392,10,3
568,03-25-2020,Ecuador,1173,28,3
569,03-25-2020,Egypt,456,21,95
570,03-25-2020,El Salvador,9,0,0
571,03-25-2020,Equatorial Guinea,9,0,0
572,03-25-2020,Eritrea,4,0,0
573,03-25-2020,Estonia,404,1,8
574,03-25-2020,Eswatini,4,0,0
575,03-25-2020,Ethiopia,12,0,0
576,03-25-2020,Fiji,5,0,0
577,03-25-2020,Finland,880,3,10
578,03-25-2020,Gabon,6,1,0
579,03-25-2020,Gambia,3,1,0
580,03-25-2020,Georgia,75,0,10
581,03-25-2020,Germany,37323,206,3547
582,03-25-2020,Ghana,93,4,0
583,03-25-2020,Greece,821,22,36
584,03-25-2020,Grenada,1,0,0
585,03-25-2020,Guatemala,24,1,4
586,03-25-2020,Guinea,4,0,0
587,03-25-2020,Guinea-Bissau,2,0,0
588,03-25-2020,Guyana,5,1,0
589,03-25-2020,Haiti,8,0,0
590,03-25-2020,Holy See,4,0,0
591,03-25-2020,Honduras,36,0,0
592,03-25-2020,Hungary,226,10,21
593,03-25-2020,Iceland,737,2,56
594,03-25-2020,India,657,12,43
595,03-25-2020,Indonesia,790,58,31
596,03-25-2020,Iran,27017,2077,9625
597,03-25-2020,Iraq,346,29,103
598,03-25-2020,Ireland,1564,9,5
599,03-25-2020,Israel,2369,5,58
600,03-25-2020,Italy,74386,7503,9362
601,03-25-2020,Jamaica,26,1,2
602,03-25-2020,Japan,1307,45,310
603,03-25-2020,Jordan,172,0,1
604,03-25-2020,Kazakhstan,81,0,0
605,03-25-2020,Kenya,28,0,1
606,03-25-2020,"Korea, South",9137,126,3730
607,03-25-2020,Kuwait,195,0,43
608,03-25-2020,Kyrgyzstan,44,0,0
609,03-25-2020,Laos,3,0,0
610,03-25-2020,Latvia,221,0,1
611,03-25-2020,Lebanon,333,6,20
612,03-25-2020,Liberia,3,0,0
613,03-25-2020,Libya,1,0,0
614,03-25-2020,Liechtenstein,51,0,0
615,03-25-2020,Lithuania,274,4,1
616,03-25-2020,Luxembourg,1333,8,6
617,03-25-2020,Madagascar,19,0,0
618,03-25-2020,Malaysia,1796,20,199
619,03-25-2020,Maldives,13,0,8
620,03-25-2020,Mali,2,0,0
621,03-25-2020,Malta,129,0,2
622,03-25-2020,Mauritania,2,0,0
623,03-25-2020,Mauritius,48,2,0
624,03-25-2020,Mexico,405,5,4
625,03-25-2020,Moldova,149,1,2
626,03-25-2020,Monaco,31,0,1
627,03-25-2020,Mongolia,10,0,0
628,03-25-2020,Montenegro,52,1,0
629,03-25-2020,Morocco,225,6,7
630,03-25-2020,Mozambique,5,0,0
631,03-25-2020,Namibia,7,0,2
632,03-25-2020,Nepal,3,0,1
633,03-25-2020,New Zealand,205,0,22
634,03-25-2020,Nicaragua,2,0,0
635,03-25-2020,Niger,7,1,0
636,03-25-2020,Nigeria,51,1,2
637,03-25-2020,North Macedonia,177,3,1
638,03-25-2020,Norway,3084,14,6
639,03-25-2020,Oman,99,0,17
640,03-25-2020,Pakistan,1063,8,21
641,03-25-2020,Panama,443,8,1
642,03-25-2020,Papua New Guinea,1,0,0
643,03-25-2020,Paraguay,37,3,0
644,03-25-2020,Peru,480,9,1
645,03-25-2020,Philippines,636,38,26
646,03-25-2020,Poland,1051,14,7
647,03-25-2020,Portugal,2995,43,22
648,03-25-2020,Qatar,537,0,41
649,03-25-2020,Romania,906,17,86
650,03-25-2020,Russia,658,3,29
651,03-25-2020,Rwanda,41,0,0
652,03-25-2020,Saint Kitts and Nevis,2,0,0
653,03-25-2020,Saint Lucia,3,0,0
654,03-25-2020,Saint Vincent and the Grenadines,1,0,0
655,03-25-2020,San Marino,208,21,4
656,03-25-2020,Saudi Arabia,900,2,29
657,03-25-2020,Senegal,99,0,9
658,03-25-2020,Serbia,384,4,15
659,03-25-2020,Seychelles,7,0,0
660,03-25-2020,Singapore,631,2,160
661,03-25-2020,Slovakia,216,0,7
662,03-25-2020,Slovenia,528,5,10
663,03-25-2020,Somalia,1,0,0
664,03-25-2020,South Africa,709,0,12
665,03-25-2020,Spain,49515,3647,5367
666,03-25-2020,Sri Lanka,102,0,3
667,03-25-2020,Sudan,3,1,0
668,03-25-2020,Suriname,8,0,0
669,03-25-2020,Sweden,2526,62,16
670,03-25-2020,Switzerland,10897,153,131
671,03-25-2020,Syria,5,0,0
672,03-25-2020,Taiwan*,235,2,29
673,03-25-2020,Tanzania,12,0,0
674,03-25-2020,Thailand,934,4,70
675,03-25-2020,Timor-Leste,1,0,0
676,03-25-2020,Togo,23,0,1
677,03-25-2020,Trinidad and Tobago,60,1,0
678,03-25-2020,Tunisia,173,5,2
679,03-25-2020,Turkey,2433,59,26
680,03-25-2020,Uganda,14,0,0
681,03-25-2020,Ukraine,145,5,1
682,03-25-2020,United Arab Emirates,333,2,52
683,03-25-2020,Uruguay,189,0,0
684,03-25-2020,Uzbekistan,60,0,0
685,03-25-2020,Venezuela,91,0,15
686,03-25-2020,Vietnam,141,0,17
687,03-25-2020,Zambia,12,0,0
688,03-25-2020,Zimbabwe,3,1,0
689,04-02-2020,US,243453,5926,9001
690,04-02-2020,Canada,11284,139,1735
691,04-02-2020,United Kingdom,34173,2926,192
692,04-02-2020,China,82432,3322,76565
693,04-02-2020,Netherlands,14788,1341,260
694,04-02-2020,Australia,5116,24,520
695,04-02-2020,Denmark,3573,123,1172
696,04-02-2020,France,59929,5398,12548
697,04-02-2020,Afghanistan,273,6,10
698,04-02-2020,Albania,277,16,76
699,04-02-2020,Algeria,986,86,61
700,04-02-2020,Andorra,428,15,10
701,04-02-2020,Angola,8,2,1
702,04-02-2020,Antigua and Barbuda,9,0,0
703,04-02-2020,Argentina,1133,36,256
704,04-02-2020,Armenia,663,7,33
705,04-02-2020,Austria,11129,158,1749
706,04-02-2020,Azerbaijan,400,5,26
707,04-02-2020,Bahamas,24,1,1
708,04-02-2020,Bahrain,643,4,381
709,04-02-2020,Bangladesh,56,6,25
710,04-02-2020,Barbados,46,0,0
711,04-02-2020,Belarus,304,4,53
712,04-02-2020,Belgium,15348,1011,2495
713,04-02-2020,Belize,3,0,0
714,04-02-2020,Benin,13,0,1
715,04-02-2020,Bhutan,5,0,1
716,04-02-2020,Bolivia,123,8,1
717,04-02-2020,Bosnia and Herzegovina,533,16,20
718,04-02-2020,Botswana,4,1,0
719,04-02-2020,Brazil,8044,324,127
720,04-02-2020,Brunei,133,1,56
721,04-02-2020,Bulgaria,457,10,25
722,04-02-2020,Burkina Faso,288,16,50
723,04-02-2020,Burma,20,1,0
724,04-02-2020,Burundi,3,0,0
725,04-02-2020,Cabo Verde,6,1,0
726,04-02-2020,Cambodia,110,0,34
727,04-02-2020,Cameroon,306,7,10
728,04-02-2020,Central African Republic,3,0,0
729,04-02-2020,Chad,8,0,0
730,04-02-2020,Chile,3404,18,335
731,04-02-2020,Colombia,1161,19,55
732,04-02-2020,Congo (Brazzaville),22,2,2
733,04-02-2020,Congo (Kinshasa),134,13,3
734,04-02-2020,Costa Rica,396,2,6
735,04-02-2020,Cote d'Ivoire,194,1,15
736,04-02-2020,Croatia,1011,7,88
737,04-02-2020,Cuba,233,6,13
738,04-02-2020,Cyprus,356,10,28
739,04-02-2020,Czechia,3858,44,67
740,04-02-2020,Diamond Princess,712,11,619
741,04-02-2020,Djibouti,40,0,0
742,04-02-2020,Dominica,12,0,0
743,04-02-2020,Dominican Republic,1380,60,16
744,04-02-2020,Ecuador,3163,120,65
745,04-02-2020,Egypt,865,58,201
746,04-02-2020,El Salvador,41,2,0
747,04-02-2020,Equatorial Guinea,15,0,1
748,04-02-2020,Eritrea,22,0,0
749,04-02-2020,Estonia,858,11,45
750,04-02-2020,Eswatini,9,0,0
751,04-02-2020,Ethiopia,29,0,3
752,04-02-2020,Fiji,7,0,0
753,04-02-2020,Finland,1518,19,300
754,04-02-2020,Gabon,21,1,0
755,04-02-2020,Gambia,4,1,2
756,04-02-2020,Georgia,134,0,26
757,04-02-2020,Germany,84794,1107,22440
758,04-02-2020,Ghana,204,5,31
759,04-02-2020,Greece,1544,53,61
760,04-02-2020,Grenada,10,0,0
761,04-02-2020,Guatemala,47,1,12
762,04-02-2020,Guinea,52,0,0
763,04-02-2020,Guinea-Bissau,9,0,0
764,04-02-2020,Guyana,19,4,0
765,04-02-2020,Haiti,16,0,1
766,04-02-2020,Holy See,7,0,0
767,04-02-2020,Honduras,219,14,3
768,04-02-2020,Hungary,585,21,42
769,04-02-2020,Iceland,1319,4,284
770,04-02-2020,India,2543,72,191
771,04-02-2020,Indonesia,1790,170,112
772,04-02-2020,Iran,50468,3160,16711
773,04-02-2020,Iraq,772,54,202
774,04-02-2020,Ireland,3849,98,5
775,04-02-2020,Israel,6857,36,338
776,04-02-2020,Italy,115242,13915,18278
777,04-02-2020,Jamaica,47,3,2
778,04-02-2020,Japan,2495,62,472
779,04-02-2020,Jordan,299,5,45
780,04-02-2020,Kazakhstan,435,3,27
781,04-02-2020,Kenya,110,3,4
782,04-02-2020,"Korea, South",9976,169,5828
783,04-02-2020,Kosovo,125,1,10
