,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_case_per_mn,deaths_per_mn,total_test,tests_per_mn,countinent
27,Ireland,"12,547",,444 ,,77,"12,026",158,"2,541",90,"90,646","18,358",Europe
28,Sweden,"12,540",+613,"1,333 ",+130,550,"10,657",996,"1,242",132,"74,600","7,387",Europe
29,Peru,"11,475",,254 ,,"3,108","8,113",146,348,8,"109,385","3,318",South America
30,S. Korea,"10,613",+22,229 ,+4,"7,757","2,627",55,207,4,"538,775","10,509",Asia
31,Chile,"8,807",+534,105 ,+11,"3,299","5,403",384,461,5,"98,424","5,149",South America
32,Japan,"8,626",,178 ,,901,"7,547",168,68,1,"94,236",745,Asia
33,Ecuador,"8,225",+367,403 ,+15,838,"6,984",168,466,23,"27,868","1,580",South America
34,Poland,"7,918",+336,314 ,+28,774,"6,830",160,209,8,"169,071","4,467",Europe
35,Romania,"7,707",+491,392 ,+20,"1,357","5,958",243,401,20,"79,629","4,139",Europe
36,Pakistan,"6,919",+536,128 ,+17,"1,645","5,146",46,31,0.6,"78,979",358,Asia
37,Denmark,"6,879",+198,321 ,+12,"3,023","3,535",92,"1,188",55,"82,380","14,223",Europe
38,Norway,"6,848",+51,152 ,+2,32,"6,664",64,"1,263",28,"130,216","24,020",Europe
39,Australia,"6,468",+21,63 ,,"3,747","2,658",66,254,2,"380,003","14,902",Australia/Oceania
40,Saudi Arabia,"6,380",+518,83 ,+4,990,"5,307",71,183,2,"150,000","4,309",Asia
41,Czechia,"6,359",+58,169 ,+3,972,"5,218",75,594,16,"146,004","13,634",Europe
42,Mexico,"5,847",+448,449 ,+43,"2,125","3,273",207,45,3,"40,091",311,North America
43,Philippines,"5,660",+207,362 ,+13,435,"4,863",1,52,3,"48,171",440,Asia
44,Indonesia,"5,516",+380,496 ,+27,548,"4,472",,20,2,"36,000",132,Asia
45,UAE,"5,365",,33 ,,"1,034","4,298",1,542,3,"767,000","77,550",Asia
46,Serbia,"5,318",+445,103 ,+4,443,"4,772",120,609,12,"29,472","3,373",Europe
47,Malaysia,"5,182",+110,84 ,+1,"2,766","2,332",56,160,3,"87,183","2,694",Asia
48,Singapore,"4,427",+728,10 ,,683,"3,734",29,757,2,"72,680","12,423",Asia
49,Belarus,"4,204",+476,40 ,+4,203,"3,961",65,445,4,"81,246","8,598",Europe
50,Ukraine,"4,161",+397,116 ,+8,186,"3,859",45,95,3,"42,823",979,Europe
51,Qatar,"4,103",+392,7 ,,415,"3,681",37,"1,424",2,"56,381","19,570",Asia
52,Dominican Republic,"3,755",+141,196 ,+7,215,"3,344",121,346,18,"12,229","1,127",North America
53,Panama,"3,751",,103 ,,75,"3,573",106,869,24,"16,854","3,906",North America
54,Luxembourg,"3,444",+71,69 ,,526,"2,849",35,"5,502",110,"31,660","50,577",Europe
55,Finland,"3,369",+132,75 ,+3,"1,700","1,594",76,608,14,"49,700","8,970",Europe
56,Colombia,"3,105",,131 ,,452,"2,522",106,61,3,"48,628",956,South America
57,Thailand,"2,672",+29,46 ,+3,"1,593","1,033",61,38,0.7,"100,498","1,440",Asia
58,Argentina,"2,571",,115 ,+3,631,"1,825",121,57,3,"26,457",585,South America
59,South Africa,"2,506",,34 ,,410,"2,062",7,42,0.6,"90,515","1,526",Africa
60,Egypt,"2,505",,183 ,,589,"1,733",,24,2,"25,000",244,Africa
61,Algeria,"2,268",+108,348 ,+12,783,"1,137",60,52,8,"3,359",77,Africa
62,Morocco,"2,251",+227,128 ,+1,247,"1,876",1,61,3,"11,433",310,Africa
63,Greece,"2,207",+15,105 ,+3,269,"1,833",69,212,10,"50,771","4,871",Europe
64,Moldova,"2,154",+105,53 ,+7,235,"1,866",80,534,13,"9,208","2,283",Europe
65,Croatia,"1,791",+50,35 ,+2,529,"1,227",31,436,9,"20,158","4,910",Europe
66,Iceland,"1,727",,8 ,,"1,077",642,8,"5,061",23,"37,386","109,558",Europe
67,Bahrain,"1,700",+29,7 ,,703,990,3,999,4,"76,630","45,035",Asia
68,Hungary,"1,652",+73,142 ,+8,199,"1,311",60,171,15,"38,489","3,984",Europe
69,Bangladesh,"1,572",+341,60 ,+10,49,"1,463",1,10,0.4,"17,003",103,Asia
70,Kuwait,"1,524",+119,3 ,,225,"1,296",32,357,0.7,,,Asia
71,Iraq,"1,434",+19,80 ,+1,856,498,,36,2,"49,260","1,225",Asia
72,Estonia,"1,434",+34,36 ,+1,133,"1,265",10,"1,081",27,"36,024","27,156",Europe
73,New Zealand,"1,401",+15,9 ,,770,622,3,291,2,"70,160","14,549",Australia/Oceania
74,Kazakhstan,"1,362",+67,17 ,+1,277,"1,068",22,73,0.9,"85,735","4,566",Asia
75,Uzbekistan,"1,349",+47,4 ,,129,"1,216",8,40,0.1,"100,000","2,988",Asia
76,Azerbaijan,"1,283",+30,15 ,+2,460,808,28,127,1,"75,397","7,436",Asia
77,Slovenia,"1,268",+20,61 ,,174,"1,033",31,610,29,"38,137","18,344",Europe
78,Bosnia and Herzegovina,"1,167",+57,43 ,+2,277,847,4,356,13,"14,743","4,494",Europe
79,Armenia,"1,159",+48,18 ,+1,358,783,30,391,6,"9,632","3,250",Asia
80,Lithuania,"1,128",+37,32 ,+2,178,918,14,414,12,"48,537","17,829",Europe
